Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.3,2017,Mortality due to suicide,77,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,37.6,
CtG14A.3,2017,Mortality due to suicide,22,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,20.2,
CtG14A.3,2017,Mortality due to suicide,6,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,125,
CtG14A.3,2017,Mortality due to suicide,3,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,11.2,
CtG14A.3,2017,Mortality due to suicide,55,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,6.4,
CtG14A.3,2017,Mortality due to suicide,37,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,40,
CtG14A.3,2016,Mortality due to suicide,76,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,36.4,
CtG14A.3,2016,Mortality due to suicide,65,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,17.9,
CtG14A.3,2016,Mortality due to suicide,68,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,117,
CtG14A.3,2016,Mortality due to suicide,1,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,11.2,
CtG14A.3,2016,Mortality due to suicide,91,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.6,
CtG14A.3,2016,Mortality due to suicide,95,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,43,
CtG14A.3,2015,Mortality due to suicide,73,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,37,
CtG14A.3,2015,Mortality due to suicide,51,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.5,
CtG14A.3,2015,Mortality due to suicide,29,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,111,
CtG14A.3,2015,Mortality due to suicide,70,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,12.4,
CtG14A.3,2015,Mortality due to suicide,1,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,6.3,
CtG14A.3,2015,Mortality due to suicide,31,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,43,
CtG14A.3,2014,Mortality due to suicide,35,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,32.8,
CtG14A.3,2014,Mortality due to suicide,52,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,18.3,
CtG14A.3,2014,Mortality due to suicide,89,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,104,
CtG14A.3,2014,Mortality due to suicide,15,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,12.4,
CtG14A.3,2014,Mortality due to suicide,52,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.9,
CtG14A.3,2014,Mortality due to suicide,12,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,44,
CtG14A.3,2013,Mortality due to suicide,44,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33.7,
CtG14A.3,2013,Mortality due to suicide,90,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,16.9,
CtG14A.3,2013,Mortality due to suicide,21,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,101,
CtG14A.3,2013,Mortality due to suicide,21,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,12.1,
CtG14A.3,2013,Mortality due to suicide,76,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.6,
CtG14A.3,2013,Mortality due to suicide,25,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,39,
CtG14A.3,2012,Mortality due to suicide,89,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,26.9,
CtG14A.3,2012,Mortality due to suicide,91,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,17.3,
CtG14A.3,2012,Mortality due to suicide,42,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,82,
CtG14A.3,2012,Mortality due to suicide,74,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,11.2,
CtG14A.3,2012,Mortality due to suicide,72,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.7,
CtG14A.3,2012,Mortality due to suicide,13,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,38,
CtG14A.3,2011,Mortality due to suicide,32,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,31.7,
CtG14A.3,2011,Mortality due to suicide,20,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,15.8,
CtG14A.3,2011,Mortality due to suicide,78,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,96,
CtG14A.3,2011,Mortality due to suicide,21,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,13.8,
CtG14A.3,2011,Mortality due to suicide,93,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,4.8,
CtG14A.3,2011,Mortality due to suicide,14,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,40,
CtG14A.3,2010,Mortality due to suicide,83,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33.4,
CtG14A.3,2010,Mortality due to suicide,21,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,16.9,
CtG14A.3,2010,Mortality due to suicide,21,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,81,
CtG14A.3,2010,Mortality due to suicide,18,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,8.1,
CtG14A.3,2010,Mortality due to suicide,23,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,4.7,
CtG14A.3,2010,Mortality due to suicide,100,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,26,
CtG14A.3,2009,Mortality due to suicide,83,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,25.8,
CtG14A.3,2009,Mortality due to suicide,75,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,15.4,
CtG14A.3,2009,Mortality due to suicide,32,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,75,
CtG14A.3,2009,Mortality due to suicide,44,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,7.8,
CtG14A.3,2009,Mortality due to suicide,89,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,4.6,
CtG14A.3,2009,Mortality due to suicide,30,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,25,
CtG14A.2,2018-2022,Mortality due to suicide,42,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),22.8,np,28.1,38.1,23.9,np,np,31.6,27.6,
CtG14A.2,2018-2022,Mortality due to suicide,88,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),22.8,np,28.1,38.1,23.9,np,np,31.6,27.6,
CtG14A.2,2018-2022,Mortality due to suicide,4,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),22.8,np,28.1,38.1,23.9,np,np,31.6,27.6,
CtG14A.2,2018-2022,Mortality due to suicide,84,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),22.8,np,28.1,38.1,23.9,np,np,31.6,27.6,
CtG14A.2,2018-2022,Mortality due to suicide,73,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),22.8,np,28.1,38.1,23.9,np,np,31.6,27.6,
CtG14A.2,2018-2022,Mortality due to suicide,94,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS Causes of Death Australia,rate (AS),10.5,np,14.4,12.9,12.4,np,np,13.5,12.2,
CtG14A.2,2018-2022,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS Causes of Death Australia,rate (AS),10.5,np,14.4,12.9,12.4,np,np,13.5,12.2,
CtG14A.2,2018-2022,Mortality due to suicide,84,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS Causes of Death Australia,rate (AS),10.5,np,14.4,12.9,12.4,np,np,13.5,12.2,
CtG14A.2,2018-2022,Mortality due to suicide,88,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS Causes of Death Australia,rate (AS),10.5,np,14.4,12.9,12.4,np,np,13.5,12.2,
